uri,cid,text,created_at,reply_count,repost_count,like_count,indexed_at,author_handle,author_display_name,author_did
at://did:plc:wwb7xslnxabkcshctksmcqmt/app.bsky.feed.post/3mcbdvljivs2e,bafyreifvgfixdbxukw3uwvggrxl6q5zmpytp2vw52cywh6vfaqmsfch7r4,esse bbb so vai ser bom se realmente tiver o edilson capetinha,2026-01-13T00:56:43.611Z,0,0,1,2026-01-13T00:56:44.430Z,andesron.bsky.social,anderson,did:plc:wwb7xslnxabkcshctksmcqmt
at://did:plc:nnm2tzdgv44mlhrhpj7kqbsn/app.bsky.feed.post/3mbhcegrnph2o,bafyreia7fa3ktps6s7mpoow77ez4evrfeth5dvfsrvyhbiog4fkhvss6iy,"Edilson Capetinha Confirmado no BBB 26: Conheça a Cota Atleta do Reality Show

Um novo participante foi confirmado para a 26ª edição do reality show que envolve convivência e competições emocionantes: Edilson Capetinha, ex-futebolista brasileiro, estará na disputa. O anúncio gerou grande…",2026-01-02T16:19:59Z,0,0,0,2026-01-02T16:20:02.427Z,ulti.com.br,Ulti.com.br,did:plc:nnm2tzdgv44mlhrhpj7kqbsn
at://did:plc:323547cskcrt7l2aej5mlqvj/app.bsky.feed.post/3mcdsddmuzc2g,bafyreibfg7fdkdpaqajqfix5da7df74zh57cdqcjvizc6n3shbedku2n3a,"Edilson Capetinha comenta título mundial pelo Corinthians

https://www.europesays.com/pt/227449/

Durante sua apresentação aos colegas no BBB 26 (Globo), Edilson Capetinha comentou o título mundial que venceu pelo…",2026-01-14T00:20:15+00:00,0,0,0,2026-01-14T00:20:17.638Z,pt-entretenimento.bsky.social,,did:plc:323547cskcrt7l2aej5mlqvj
at://did:plc:ev7crf6ciwctafk7l42tan5u/app.bsky.feed.post/3mcfikvvwr22w,bafyreid6wtk2ikqghtqcjxjoyxeze56guouecz5adjkhto4afomu6qgj2m,"Mãe de Edilson Capetinha vibra com entrada do ex-jogador no BBB
ofuxico.com.br/reality-show...",2026-01-14T16:30:53.067Z,0,0,1,2026-01-14T16:30:58.341Z,ofuxicooficial.bsky.social,OFuxico Oficial,did:plc:ev7crf6ciwctafk7l42tan5u
at://did:plc:tfrxjhiynt3kaq2qjoxea6e5/app.bsky.feed.post/3mcjibzlrpo22,bafyreibpvb2d6uwtrcrnhcwb3riogfqhwvuhvmf23mhfj76f3lflq7vmhy,"Mãe de Edilson Capetinha vibra com entrada do ex-jogador no BBB

Maria de Lourdes, de 80 anos, mãe de Edilson Capetinha, acompanhou com emoção a entrada do ex-jogador no Big Brother Brasil. Em conversa com OFuxico, ela comentou a participação do filho no reality, destacou a felicidade da família e…",2026-01-16T06:36:32Z,0,0,0,2026-01-16T06:36:34.433Z,fofocasefamosos.bsky.social,,did:plc:tfrxjhiynt3kaq2qjoxea6e5
at://did:plc:iacgaomrmpwh2ro2p4oi2rbb/app.bsky.feed.post/3mcbk4mj2pc2l,bafyreihaf5sztxe4ve377xf2hr3r4y6e4o5vui77noiqvn7qetkmkckq7m,"Pois é Rik, o BBB desse ano tá muito aleatório. Desde Babu Santana, Edilson Capetinha, até Solange Couto e Aline Riscado",2026-01-13T02:48:01.977Z,1,0,0,2026-01-13T02:48:06.937Z,educlassic.bsky.social,EduClassicTV,did:plc:iacgaomrmpwh2ro2p4oi2rbb
at://did:plc:tfrxjhiynt3kaq2qjoxea6e5/app.bsky.feed.post/3mcimz7fnt624,bafyreiac5usrwyx7uwpe6yucm6ngbf5au2ovsosjpmceczkw3dpcvssdee,"BBB 26: Edilson Capetinha se declara para Juliano Floss

Em cena de afeto, ex-jogador diz ter grande carinho pelo tiktoker.",2026-01-15T22:28:25Z,0,0,0,2026-01-15T22:28:27.340Z,fofocasefamosos.bsky.social,,did:plc:tfrxjhiynt3kaq2qjoxea6e5
at://did:plc:ab6vovhpivzwdrmpkltxby3n/app.bsky.feed.post/3mcibdcipdg22,bafyreibkc5etwpuaejlmqxqihuehmm5bzdabwxfcktwjz3dolafditodtu,"Edilson Capetinha, no BBB 26, recusou G Magazine por estar casado: ‘Indiquei o Vampeta’

Segundo Edilson, foi ele quem recebeu inicialmente a proposta para posar na revista, em 1998",2026-01-15T18:59:19Z,0,0,0,2026-01-15T18:59:21.431Z,gayblogbr.bsky.social,GAY BLOG BR,did:plc:ab6vovhpivzwdrmpkltxby3n
at://did:plc:mcb6n67plnrlx4lg35natk2b/app.bsky.feed.post/3mct5jlmg4h2x,bafyreibdfl7q2mfqjorjokxdtdbaekbkwbqfywjh5ks2dj7xb3y3ukuh4y,"
Bluesky's Top 10 Trending Words (past 10min):
💨x48 - juliano
💨x1* - epstein 🔓
💨x42 - bain
💨x39 - marcelo
💨x1* - democracy 🔓
💨x25 - edilson
💨x25 - brigido
💨x1* - ukraine 🔓
💨x21 - sol
💨x20 - pódio
*🔓 = Unlocked Emergency Words (see img)

#йобанарусня 🇺🇦

(Something not right? Reply!)",2026-01-20T02:50:34.172578+00:00,0,0,1,2026-01-20T02:50:34.638Z,nowbreezing.ntw.app,☁️Now🤖Breezing💨,did:plc:mcb6n67plnrlx4lg35natk2b
at://did:plc:7z2o6tnlwwyibrct5wcdosrl/app.bsky.feed.post/3mcbhhnykvw24,bafyreiaxeqwc5nxfpf3tn4fce6eyneqt7vjrqz2iuukm74y2zyfuwgbgsu,"Itens dos últimos 30 minutos 🧭:

1. Bbb
2. Henri
3. Edilson
4. Castelli
5. Juliano
6. Floss
7. Capetinha
8. Solange
9. Samira
10. Globo

Anúncio: @terraprotege.bsky.social.",2026-01-13T02:00:31.297Z,0,0,0,2026-01-13T02:00:31.633Z,trending-pt.bsky.social,Tendências - Português,did:plc:7z2o6tnlwwyibrct5wcdosrl
